random_index,source_id,ra,dec,parallax,parallax_over_error,pmdec,pmdec_error,pmra,pmra_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
1381651595,2926059827481255680,101.87151434597266,-21.638467968943683,0.7082870617804976,15.7246275,-4.061185703471544,0.041292034,-0.04573978699144188,0.029028991,1.0553845,16.628632,17.203814,15.902876,1.3009377
226379506,2926062576260337408,101.79104324254088,-21.63974809265166,0.8566124909318862,6.9242997,-2.8940212732570116,0.11205011,1.5580111890687867,0.080317624,0.97556657,18.450891,19.332483,17.52228,1.8102036
741620331,2926062610615673472,101.76741576871382,-21.651002073822408,2.363313916465815,1.5710058,11.480609333318457,1.119343,9.070123959367175,0.7162365,1.1187495,20.810562,21.877844,19.67423,2.2036133
1021135133,2926062919857705472,101.84091151604427,-21.604855516852698,1.9552110445873825,113.31153,-35.483904267331674,0.015669923,-11.917449939321681,0.0111081125,1.002468,14.496161,14.930145,13.892927,1.0372181
340816657,2926061614178561024,101.70699500020247,-21.68374404150543,0.8685123020661926,2.3261619,2.7425885483726407,0.34659326,2.4265348689748145,0.2089123,1.0205909,19.892107,20.634743,18.969057,1.6656857
188147056,2926061717257760256,101.7193618779694,-21.671688436295558,1.5573538318693863,2.847691,-2.0621231680923935,0.4814488,-8.762201074582187,0.33190823,1.0025495,20.39285,21.45561,19.222654,2.232956
806232275,2926061717257763200,101.70833938900441,-21.668700008226573,1.7658043009280442,1.5857507,1.5974654568579552,0.9039851,0.6818175421853905,0.6259332,0.9128142,20.790863,21.464548,19.719332,1.7452164
816580877,2926063710131706752,101.72561489857297,-21.60472734404686,0.8009163576185572,29.03967,4.005340501943864,0.025432322,-9.558633603388381,0.017537205,0.9729418,15.524857,15.893311,14.977882,0.91542816
453606028,2926065737357196672,101.90490993737346,-21.62133834919337,1.3910406026317246,2.1435442,7.384570537992878,0.57755214,-3.99912669905844,0.38971907,1.0485821,20.596937,21.15272,19.347746,1.8049736
222155551,2926065973573802496,101.94478518951863,-21.610558096908665,0.9335908552848895,5.6276364,1.1337833865777585,0.14770472,0.1659386617291989,0.10188207,0.9846573,18.873438,19.962835,17.869728,2.0931072
1803859188,2926066012226073344,101.96193486132675,-21.609241909842883,1.0870482020438132,1.3518178,-0.4965674432042945,0.7002099,-2.4582243733988465,0.43697864,1.1202232,20.548893,21.105146,19.421673,1.6834736
